1,B,The 'A'rt of Computing,U
2,E,The 'A'rt of Computing,U
3,E,How to Save the World 2013 Edition,A
4,B,Relational Theory for Computer Professionals,A
5,E,Responsive Web Design with HTML and CSS,A
6,B,Code: The Hidden Language of Computer,A
7,B,Learning iPython for Interactive Computing,U
8,E,Universal Principles of Design,U
9,E,The Python Standard Library by Example,A
10,E,How to Create a Mind,A
11,B,Microinteractions,A
12,B,UX for Lean Startups,A
13,B,Introduction to Algorithms,U
14,E,Introduction to Algorithms,A
16,E,Raspberry Pi User Guide,U
18,E,A First Course in Graph Theory,A
21,B,Hacker's Delight,A
22,B,An Introduction to the Analysis of Algorithms,U
23,B,Python for Kids,A
25,E,People Analytics,U
26,E,Python for Data Analysis,A
27,B,Predictive Analysis,A
28,B,Artificial Intelligence,U
29,E,Artificial Intelligence,U
30,E,Arduino Robotics,U
31,E,Designing with the Mind in Mind,A
32,B,Documenting Software Architectures,A
33,E,Software Architecture in Practice,U
34,E,Automate This,A
35,E,How Google Tests Software,U
38,B,Code Complete,A
40,B,Android Application Development for Dummies,U
42,E,iOS Programming,U
43,B,Test Driven Development,A
45,B,Principles of Computer Science,U
46,E,JavaScript and HTML5 Now,A
47,E,iPhone Application Development for Dummies,U
48,E,The Essential Guide to Web Design,A
49,B,Beginning Facebook Game Apps Development,U
50,B,ActionScript 3.0 Cookbook,A
53,E,Designing Multi-Device Experiences,U
58,B,Mind Mapping for Kids,A
59,B,The Decoded Company,A
63,E,Lifehacks,A
68,E,The Second Machine Age,U
