when	widowbloom_price	risingglory_price	marrowroot_price	vigilstorch_price	nightshade_price	flask_price
2020-12-01	12561	2639	6257	5028	13838	157738
2020-12-02	11819	3176	4710	7206	17198	139320
2020-12-03	13867	2677	4213	7659	13327	164655
2020-12-04	13139	2686	3987	9325	14539	165096
2020-12-05	14028	2494	8677	10086	17227	206537
2020-12-06	14031	3354	7886	6838	14987	186021
2020-12-07	12321	3052	6914	8307	14103	175147
2020-12-08	12185	3237	6874	8748	15585	170496
2020-12-09	11431	4019	6639	4510	11821	168278
2020-12-10	10353	3591	5413	5467	11149	155209
2020-12-11	8714	2910	4173	6831	8269	135795
2020-12-12	8123	2000	3891	6451	6719	121379
2020-12-13	9711	2192	4872	5331	8822	122510
2020-12-14	10147	2702	5063	5782	8168	128980
2020-12-15	9654	3024	5332	5291	7928	127627
2020-12-16	10302	5350	5685	4455	8821	139591
2020-12-17	10642	5294	5149	4274	8188	138418
2020-12-18	10188	4286	4320	4019	7274	129975
2020-12-19	9049	3405	4120	4109	6662	114266
2020-12-20	12931	3290	4347	4612	7800	122009
2020-12-21	10379	3291	5107	4329	10310	134273
2020-12-22	9965	4370	4898	3764	8048	124970
2020-12-23	10054	4894	6586	3159	7536	128869
2020-12-24	10003	4608	5790	3926	6873	130586
2020-12-25	9463	4457	4555	3468	7156	129852
2020-12-26	9042	4860	4000	3903	6920	121995
2020-12-27	9877	3986	3963	3831	9857	116601
2020-12-28	9808	3316	5316	3547	6343	116037
2020-12-29	8806	3196	5150	3201	6818	111813
2020-12-30	8224	4455	4856	2883	6741	109774
2020-12-31	9226	4658	4357	2773	6450	109760
2021-01-01	8526	5131	4458	3785	6413	114962
2021-01-02	8446	4862	4771	3875	7356	117696
2021-01-03	8945	4201	5171	3453	6658	114852
2021-01-04	8211	4002	5616	4841	6447	118488
2021-01-05	8006	3875	5316	4678	6347	115712
2021-01-06	9134	4737	8009	4023	7031	113101
2021-01-07	9100	4760	8401	3801	6137	129381
2021-01-08	9507	4451	8125	3223	5796	130722
2021-01-09	8638	3858	7290	2891	6424	122649
2021-01-10	9835	3480	6939	2845	6166	119797
2021-01-11	9929	5101	5277	2787	5746	126220
2021-01-12	9639	4720	4971	2676	5468	122475
2021-01-13	10163	7679	7092	2336	6731	118669
2021-01-14	9340	6228	4784	2303	5254	115948
2021-01-15	8664	3900	4136	3392	4810	109674
2021-01-16	7607	3742	4396	3138	4320	105018
2021-01-17	7278	4408	4408	3265	4958	100644
2021-01-18	6424	3779	4030	3832	4845	98674
2021-01-19	5344	4525	3552	4165	4459	94978
2021-01-20	4656	4547	3391	3977	4205	92263
2021-01-21	4457	3687	3050	3140	3955	83234
2021-01-22	3721	3213	2720	2193	3456	71341
2021-01-23	3214	2701	2780	1720	3772	68152
2021-01-24	3896	3785	3241	2115	4017	66334
2021-01-25	4815	4549	3655	3066	4288	82380
2021-01-26	3900	3844	3367	3384	3891	77159
2021-01-27	3795	3717	3278	2799	4215	73143
2021-01-28	3651	3498	3050	2394	3811	69057
2021-01-29	3602	3080	2765	2821	3593	66166
2021-01-30	3593	2815	2581	3031	3583	64377
2021-01-31	3383	2708	3354	2656	4261	68615
2021-02-01	5224	3183	3086	2790	4624	67768
2021-02-02	3793	2871	2937	2455	3534	64005
2021-02-03	4955	2948	3582	2483	4496	67912
2021-02-04	4380	3919	4519	2291	4311	69819
2021-02-05	3932	4020	3935	2071	4074	73652
2021-02-06	6809	2966	4318	1978	3849	81749
2021-02-07	6699	2815	4521	1989	4189	83695
2021-02-08	6039	2768	3896	2176	3766	76427
2021-02-09	5091	3687	3689	3009	3930	76695
2021-02-10	5333	3202	3929	2523	3552	79086
2021-02-11	5274	3094	3455	2211	3346	76517
2021-02-12	4658	2908	2719	2151	3214	70476
2021-02-13	5240	2848	3236	2070	3652	66457
2021-02-14	4982	2649	2963	2035	3941	69519
2021-02-15	4886	3233	2856	2014	4167	69305
2021-02-16	4631	3252	3103	1909	3919	68824
2021-02-17	4584	3325	2843	1822	4361	66826
2021-02-18	4738	3232	2657	2094	3709	65442
2021-02-19	5338	3027	2901	2153	4068	70608
2021-02-20	5054	2985	2556	2686	3998	74429
2021-02-21	4956	2913	2547	2675	4197	71747
2021-02-22	6588	3345	2834	2486	4085	70792
2021-02-23	4974	3523	2890	2369	4422	70662
2021-02-24	4905	2832	2718	2184	4214	69803
2021-02-25	4797	2744	2716	2273	4180	69041
2021-02-26	4647	2669	2846	2075	3896	68732
2021-02-27	4325	2765	2566	2108	3638	65859
2021-02-28	4111	2726	2437	2205	3671	63984
2021-03-01	4026	2567	2402	2103	3968	63038
2021-03-02	3918	3015	2550	2019	3819	62998
2021-03-03	4598	2842	2707	1898	3563	62927
