(-10.0, 100.0)
(-9.99, 99.8001)
(-9.98, 99.60040000000001)
(-9.97, 99.40090000000001)
(-9.96, 99.20160000000001)
(-9.95, 99.00249999999998)
(-9.94, 98.80359999999999)
(-9.93, 98.6049)
(-9.92, 98.4064)
(-9.91, 98.2081)
(-9.9, 98.01)
(-9.89, 97.81210000000002)
(-9.88, 97.61440000000002)
(-9.87, 97.41689999999998)
(-9.86, 97.21959999999999)
(-9.85, 97.0225)
(-9.84, 96.8256)
(-9.83, 96.6289)
(-9.82, 96.4324)
(-9.81, 96.23610000000001)
(-9.8, 96.04000000000002)
(-9.79, 95.84409999999998)
(-9.78, 95.64839999999998)
(-9.77, 95.45289999999999)
(-9.76, 95.2576)
(-9.75, 95.0625)
(-9.74, 94.86760000000001)
(-9.73, 94.67290000000001)
(-9.72, 94.47840000000001)
(-9.71, 94.28410000000002)
(-9.7, 94.08999999999999)
(-9.69, 93.89609999999999)
(-9.68, 93.7024)
(-9.67, 93.5089)
(-9.66, 93.3156)
(-9.65, 93.1225)
(-9.64, 92.92960000000001)
(-9.63, 92.73690000000002)
(-9.62, 92.54439999999998)
(-9.61, 92.3521)
(-9.6, 92.16)
(-9.59, 91.96809999999999)
(-9.58, 91.7764)
(-9.57, 91.5849)
(-9.56, 91.3936)
(-9.55, 91.20250000000001)
(-9.54, 91.01159999999999)
(-9.53, 90.8209)
(-9.52, 90.6304)
(-9.51, 90.4401)
(-9.5, 90.25)
(-9.49, 90.0601)
(-9.48, 89.8704)
(-9.47, 89.68090000000001)
(-9.46, 89.49160000000002)
(-9.45, 89.30249999999998)
(-9.44, 89.11359999999999)
(-9.43, 88.9249)
(-9.42, 88.7364)
(-9.41, 88.5481)
(-9.4, 88.36000000000001)
(-9.39, 88.17210000000001)
(-9.38, 87.98440000000001)
(-9.37, 87.79689999999998)
(-9.36, 87.60959999999999)
(-9.35, 87.4225)
(-9.34, 87.23559999999999)
(-9.33, 87.0489)
(-9.32, 86.86240000000001)
(-9.31, 86.6761)
(-9.3, 86.49000000000001)
(-9.29, 86.30409999999999)
(-9.28, 86.1184)
(-9.27, 85.93289999999999)
(-9.26, 85.74759999999999)
(-9.25, 85.5625)
(-9.24, 85.3776)
(-9.23, 85.19290000000001)
(-9.22, 85.00840000000001)
(-9.21, 84.82410000000002)
(-9.2, 84.63999999999999)
(-9.19, 84.45609999999999)
(-9.18, 84.27239999999999)
(-9.17, 84.0889)
(-9.16, 83.9056)
(-9.15, 83.72250000000001)
(-9.14, 83.53960000000001)
(-9.13, 83.35690000000001)
(-9.12, 83.17439999999999)
(-9.11, 82.9921)
(-9.1, 82.80999999999999)
(-9.09, 82.6281)
(-9.08, 82.4464)
(-9.07, 82.26490000000001)
(-9.06, 82.0836)
(-9.05, 81.90250000000002)
(-9.04, 81.72159999999998)
(-9.03, 81.5409)
(-9.02, 81.3604)
(-9.01, 81.1801)
