x,y,z
0.000403,-0.062018503,-0.005498
-0.002863,-0.060055502,-0.009567001
-0.001945,-0.0412555,-0.001349
-0.001867,-0.042347502,-0.0019
0.002323,-0.061788503,-0.003647001
-0.002731,-0.060225502,-0.010154
-0.002201,-0.060870502,-0.010271001
0.001154,-0.064448498,-0.007683001
0.002153,-0.064202502,-0.00525
0.026002999,0.017330501,-0.049434002
0.031932,0.0152075,-0.048681002
0.031883001,0.0158365,-0.048690002
0.031653002,0.016974501,-0.048704002
0.031419002,0.017485499,-0.048706003
0.030846,0.018266499,-0.048718002
0.030553002,0.018576499,-0.048723001
0.029667001,0.019087501,-0.048734002
0.028870001,0.019334499,-0.048739001
0.027817,0.019144502,-0.048738003
0.027003001,0.018762499,-0.048752002
0.026449,0.018212501,-0.048764002
0.025857002,0.017475501,-0.048738003
0.025632001,0.016306501,-0.048738003
0.025663,0.015828501,-0.048736002
0.025795002,0.0148505,-0.048725002
0.026101001,0.0138505,-0.048718002
0.026283,0.0133315,-0.048711002
0.026721001,0.0124335,-0.048700001
0.027329002,0.0115735,-0.048686001
0.030406002,0.0118675,-0.047962002
0.030863002,0.0124275,-0.047971003
0.031358,0.0133945,-0.047967002
0.031669002,0.0142305,-0.047974002
0.031835999,0.0152375,-0.047978003
0.031822,0.015835501,-0.047992002
0.031630002,0.017003499,-0.048001003
0.031227,0.017911501,-0.048013002
0.030631002,0.018669501,-0.048020002
0.029821999,0.019243501,-0.048038002
0.028878,0.019506499,-0.048045002
0.02789,0.019397501,-0.048036002
0.026934002,0.018987499,-0.048047002
0.026229002,0.018430501,-0.048040003
0.025706001,0.017616499,-0.048034001
0.025481001,0.016438499,-0.048038002
0.025534,0.015856501,-0.048034001
0.025729001,0.0148425,-0.048024002
0.026073001,0.0138435,-0.048017003
0.026205,0.0134795,-0.048013002
0.026647002,0.0125735,-0.048004001
0.027383,0.0116745,-0.047994003
0.027642,0.0114585,-0.047978003
0.028916001,0.0110705,-0.047976002
0.030092999,0.0118995,-0.047273003
0.030689999,0.0125895,-0.047271002
0.031208999,0.0135335,-0.047266003
0.031505,0.0142775,-0.047276001
0.031727999,0.0152685,-0.047282003
0.031754002,0.015848499,-0.047290001
0.031614002,0.017011501,-0.047299001
0.031277999,0.017934501,-0.047306001
0.030684002,0.018802501,-0.047319002
0.029918,0.019367501,-0.047335003
0.028978001,0.0196895,-0.047345001
0.027975,0.019667499,-0.047351003
0.026848,0.019250501,-0.047354002
0.026074,0.018631499,-0.047351003
0.025565,0.017739501,-0.047347002
0.025373001,0.016532499,-0.047342002
0.025418,0.015843499,-0.047335003
0.025705,0.0147725,-0.047328003
0.026027001,0.0138295,-0.047319002
0.026232,0.0133025,-0.047312003
0.026705001,0.0124495,-0.047296003
0.026941001,0.0121855,-0.047290001
0.027712001,0.0115655,-0.047280002
0.028815001,0.0113405,-0.047287002
0.029755,0.011947501,-0.046575002
0.030397002,0.0125965,-0.046568003
0.031086002,0.0136505,-0.046577003
0.031355999,0.0143315,-0.046582002
0.031583,0.0152915,-0.046584003
0.031659,0.015842501,-0.046587002
0.031636,0.016827501,-0.046600003
0.031312,0.017956499,-0.046607003
0.031070001,0.0184545,-0.046614002
0.030489001,0.0191755,-0.046628002
0.030018002,0.0195335,-0.046630003
0.029104002,0.019907501,-0.046628002
0.028022001,0.0199585,-0.046649002
0.027693,0.019892499,-0.046653003
0.026759,0.019545499,-0.046647001
0.025961,0.018896502,-0.046647001
0.025396001,0.017825499,-0.046662003
0.025189999,0.016780499,-0.046651002
0.025283001,0.015865501,-0.046639003
0.025555,0.014860501,-0.046628002
0.025706001,0.0144015,-0.046623003
0.0261,0.0134635,-0.046614002
0.026736001,0.0124655,-0.046600003
0.027786002,0.0117205,-0.046584003
0.028907999,0.0115445,-0.046589002
0.029422,0.0119835,-0.045880001
0.030288,0.0127035,-0.045875002
0.030962002,0.0137655,-0.045870002
0.031235002,0.0143935,-0.045877002
0.031483002,0.0153295,-0.045886002
0.031622,0.016336501,-0.045891002
0.031607002,0.016841501,-0.045898002
0.031366002,0.017980501,-0.045909002
0.031126,0.018506501,-0.045914002
0.030584,0.019267499,-0.045925003
