Question,Topic
‘Nothing happens by chance – there is no such thing as luck.’ Discuss.,Reflective
‘Happiness is in your own hands.’ How far do you agree with this claim?,Reflective
‘Good character hinders success.’ Discuss.,Reflective
Should we always accept opportunities that come our way? ,Reflective
Is it possible to forgive and forget?,Reflective
Do superheroes serve any useful purpose? ,Reflective
Is it true that humour makes the world a better place?,Reflective
‘Live as if you were to die tomorrow.’ Is this good advice?,Reflective
Do choices actually make our lives better?,Reflective
The most valuable commodity in modern life is time. Do you agree?,Reflective
Uncertainty may not necessarily be a bad thing. Discuss. ,Reflective
‘Most non-conformists are merely attention-seekers.’ How true is this in your society?,Reflective
Do your duty!’ Explore both the possible merits and potential drawbacks of always obeying this directive. ,Reflective
"‘Rather than broadening our minds, most foreign travel only serves to reinforce our prejudices!’ How far do you agree?",Reflective
‘There is nothing special about our species – mankind is merely a slightly more intelligent chimpanzee.’ Discuss.,Reflective
‘Let bygones be bygones.’ Is this good advice?,Reflective
Consider the importance of architecture and city planning.,Reflective
‘Money is the only motivator for people today.’ Comment.,Reflective
Does tourism impoverish us?,Reflective
 ‘Age is no barrier to success.’ How far do you agree? ,Reflective
‘A career as an artist is more attractive now than ever before.’ Comment. ,The Arts
"‘Modern art is merely the expression of one’s imagination, and is of little significance.’ Do you agree?",The Arts
Discuss the value of music. ,The Arts
People no longer read for pleasure.’ Discuss. ,The Arts
Photography has little artistic value today. Is this a fair comment?,The Arts
Examine the view that the Arts are only for the wealthy. ,The Arts
‘The preservation of culture has been overlooked in the arts.’ Discuss.,The Arts
Do museums still have a role to play in society?,The Arts
Do you agree that only the rich can appreciate the Arts? ,The Arts
To what extent is cultural heritage really important in your society?,The Arts
‘The Arts should play a significant role in your society.’ How far do you agree?,The Arts
‘Language is the key to cultural identity.’ To what extent is this true in your society?,The Arts
Can your society do without the Arts?,The Arts
Consider the view that the arts will play a more significant role in your society.,The Arts
Should more emphasis be placed on traditions in your society?,The Arts
"In your society, is there any point in learning a foreign language? ",The Arts
Do you agree with the view that art and politics should never mix?,The Arts
Are certain languages superior to others?,The Arts
"‘The artist, not the government, should be regulating what is appropriate for the audience.’ Do you agree?",The Arts
To what extent can Mathematics be considered a form of art?,The Arts
‘Tradition does more harm than good.’ To what extent do you agree with this statement?,The Arts
‘There is no reason for society to spend on the Arts when people are still suffering in poverty.’ Do you agree?,The Arts
Discuss the importance of understanding and appreciating the power of the written word.,The Arts
Does the notion that big businesses do more harm than good still hold true today? ,Business and Economics
To what extent should the success of your society be measured by its economic growth?,Business and Economics
There is too much emphasis on economic development.' Is this true in your society?,Business and Economics
Consider the view that affluence poses more problems than it solves.,Business and Economics
‘Consumers are at the mercy of corporations.’ Discuss.,Business and Economics
 Is increasing the strength of the police force the best way to combat crime?,Crime and Punishment
"‘The harsher the punishment, the more effective it is.’ Discuss.",Crime and Punishment
How far is it acceptable for the public to mete out justice for wrongdoing?,Crime and Punishment
‘Learning beyond grades.’ To what extent is this a realistic goal in your society?,Education
Discuss the claim that education guarantees progress.,Education
Education produces a population able to read but unable to think.' Discuss.,Education
