Question,Topic
‘It is just as important to unlearn as it is to learn.’ Do you agree?,Reflective
‘There is no point in preparing for the future when we do not know what the future brings.’ How far do you agree? ,Reflective
‘Higher living standards cause people to lose sight of the important things in life.’ Do you agree? ,Reflective
‘The reward is in the risk.’ To what extent should people in your country take risks?,Reflective
How desirable is city living?,Reflective
‘Graciousness is of little value today.’ How far is this true for your society?,Reflective
‘Strong threats always work better than gentle persuasion.’ What are your views?,Reflective
How do you explain society’s growing fascination with super heroes? Do you regard this as a healthy or harmful trend?  ,Reflective
"‘We need less, not more, choice.’ How true is this today?",Reflective
How valuable is selflessness in today's world? ,Reflective
‘Promises should never be broken.’ What is your view?,Reflective
‘Myths have no place in the modern world.’ Do you agree?,Reflective
"‘In today’s world, style is more important than substance.’ What is your view?",Reflective
‘Greed has always been Man’s greatest sin.’ What is your view?,Reflective
‘There is opportunity in every crisis.’ Do you agree? ,Reflective
‘We cannot change the world for the better unless we first change ourselves.’ Comment.,Reflective
Does nostalgia have a place in your society?,Reflective
‘It is increasingly difficult to tell right from wrong today.’ How far do you agree?,Reflective
Is there still a place for loyalty today?,Reflective
"To what extent is it true that the more one pursues happiness, the less happy one will be?",Reflective
‘The truth will set you free.’ Do you agree?,Reflective
 'A preoccupation with the self is a curse of the modern life.' To what extent do you agree?,Reflective
How far is it possible for people to address current realities? ,Reflective
Is it worth spending large sums of money on the arts in your society?,The Arts
"In times of economic hardship, should a country still invest in the Arts?",The Arts
Consider the view that design is aesthetically pleasing but of little practical use.,The Arts
‘Far too little attention is given to the Arts in education today.’ How true is this?,The Arts
An education in the arts should be encouraged as much as the sciences. Discuss this in relation to your society. ,The Arts
To what extent do visual arts promote national identity in your society? ,The Arts
‘The arts liberate but science enslaves.’ Discuss.,The Arts
Is it fair to say that the arts do nothing to solve the problems of your society? ,The Arts
Discuss the claim that Singapore is not doing enough to promote creativity among young people. ,The Arts
Discuss the importance of museums.,The Arts
Can fiction ever be truthful?,The Arts
‘There is no value in visiting museums today.’ Discuss.,The Arts
Should celebrities be held to higher standards of moral behaviour? ,The Arts
 ‘Music does nothing other than entertain.’ Do you agree?  ,The Arts
‘Contemporary films are usually entertaining but rarely meaningful.’ Do you agree?,The Arts
"‘If the arts are regulated, they lose their value.’ Do you agree?  Discuss with reference to one of the following: performing arts, or visual arts. ",The Arts
Discuss the value and appeal of science fiction.,The Arts
