Topic Question
__label__leadership "The almost influential individuals history live world health organization get caused harm How far would accept sight"
__label__crime_and_punishment "How far criminal long time determine nature punishment"
__label__culture_and_traditions "Do myths legends still role dally Singapore"
__label__the_arts "Would count performing prowess venues smart set concert halls theatres closed"
__label__society "Examine role music establishing interior identity club"
__label__religion "How far religion influence political decision"
__label__miscellaneous "Do awards loot wait useful purpose"
__label__mathematics_and_statistics "How far modern technology make unneeded individuals possess mathematical skill"
__label__family_marriage_youth "Children society victims parents ambitions Discus"
__label__security_issues__terrorism_security_privacy "Soft power horn military might To extent comprise true globalised reality"
__label__science "How far science fiction get fact"
__label__rights_injustices_and_fair_treatment "How far countries give birth relations others whose human rights record poor"
__label__governance "Should police unlimited powers dealing crime"
__label__education "Discuss title education guarantee progress"
__label__energy_and_the_environment "Country far urgent anteriority protecting surroundings Do agree"
__label__advertising "In location thing bad packaging To extent true"
__label__family_marriage_youth "The increasing focus superheroes detrimental maturation children Discuss"
__label__society "The terms progress mellow To extent cost true bon ton"
__label__intervention_conflict_and_war "Can belittled countries significant voice cosmos affairs"
__label__science "Consider view advancements artificial intelligence testament lead divides"
__label__history "History holds us back rather spur u frontwards To extent true"
__label__society "How far exist land prepared future crises"
__label__security_issues__terrorism_security_privacy "Can trade weapon ever justify"
__label__intervention_conflict_and_war "How far countries intercourse others whose human rights record miserable"
__label__medicine_medical_science_and_health "If multitude become ill mostly fault How far harmonize"
__label__the_arts "In society extent make acceptable public money used acquisition works art"
__label__geography "How far physical lineament size location determine nation progress"
__label__tourism_and_transportation "The holidaymaker make go steady country inhabitants know How far honest Singapore"
__label__energy_and_the_environment "Animals right hand living humans Discus"
__label__science "Scientific discipline undependable based much theory fact Be fair input"
__label__rights_injustices_and_fair_treatment "Mass privileges proportion intelligence Comment"
__label__mathematics_and_statistics "How reliable equal statistic guide planning future"
__label__family_marriage_youth "Discuss claim young people naught secure despite better inform"
__label__mass_media "Should press constitute entirely free"
__label__the_arts "An appreciation euphony vital full rounded education How truthful society"
__label__education "Learning beyond class To extent realistic destination society"
__label__science "Should welcome operating theatre baulk idea robots replacing human beings workplace"
__label__family_marriage_youth "Should masses make allowed children artificial means"
__label__science "To extent acceptable science use pursuit human flawlessness"
__label__advertising "Ad much entertaining seldom affect consumer choice Is experience"
__label__globalisation "Consider view best way contend poverty meliorate lives women"
__label__history "Does study history clear optimistic oregon pessimistic astir future human airstream"
__label__business_and_economics "Does notion big businesses harm practiced nonetheless hold reliable today"
__label__reading_fiction__stories "Any adaptation novel pic television theatre effective original Discuss"
__label__population_and_migration "How far prosperity uncontrolled population growth go hand handwriting"
__label__reading_fiction__stories "Nowadays pleasure meter reading never contend pleasures visual entertainment To extent make agree"
__label__language_and_writing "The world would well billet everyone spoke like language Discuss"
__label__population_and_migration "To extent migration people positive effect"
__label__work_and_life "Consider view careers better become sex"
__label__advertising "Advertisements often entertaining seldom affect consumer pick Is experience"
__label__security_issues__terrorism_security_privacy "The outlook Third World War unthinkable Manage agree"
__label__the_arts "Consider thought design aesthetically please picayune practical use"
__label__family_marriage_youth "Discuss claim young people zero despite unspoilt informed"
__label__language_and_writing "Consider view spoken nomenclature comprise important written form"
__label__globalisation "Poverty fault poor Discus"
__label__economics "How force international efforts ease trouble global hungriness"
__label__society "How far increased prosperity realistic end club"
__label__the_arts "An appreciation euphony personify vital fully rounded education How true equal society"
__label__economics "Science result global hunger Saucer"
__label__education "In society effectively shoal gear young demand economy"
__label__sport "Are taking romp seriously"
__label__work_and_life "Practical power constitute exactly important intellectual skills How far true society"
__label__globalisation "Consider persuasion celebrity could tackle global issues"
__label__science "Scientific research wellness dieting unreliable ofttimes contradicts Is bonnie comment"
__label__science "Should rich land help poor countries scientific technical progress"
__label__science "How far science fiction becoming fact"
__label__crime_and_punishment "The harsher punishment efficient Discuss"
__label__crime_and_punishment "The harsher penalisation greater extent effective Discuss"
__label__geography "National boundaries ready little geographic economic sense nowadays Saucer"
__label__culture_and_traditions "Do handicrafts still stimulate note value machine produced good therefore readily available"
__label__geography "National boundaries form little geographical operating room economical sense nowadays Discuss"
__label__science "Has engineering science really increased productivity"
__label__the_arts "To extent arts society focus local kinda foreign gift"
__label__education "How far fare education bon ton prepare educatee careers"
__label__rights_injustices_and_fair_treatment "Can prepossess ever eliminated"
__label__population_and_migration "Migrants inconvenient requirement Constitute true"
__label__governance "Good governance simply fulfil demands hoi polloi What suffice consider"
__label__family_marriage_youth "No risk payoff Is good advice young citizenry society today"
__label__population_and_migration "Should countries encourage migration today"
__label__crime_and_punishment "The fashion eliminate law breaking eliminate impoverishment What vista"
__label__reflective "Execute tourism impoverish us"
__label__security_issues__terrorism_security_privacy "How far state right supervise actions people within borders"
__label__intervention_conflict_and_war "Does mien extraneous power ever help country problems"
__label__miscellaneous "Do awards prize serve useful purpose"
__label__religion "Science religious belief always run afoul Discuss"
__label__tourism_and_transportation "Should poorer rural area produce tourist industry basic needs people cope"
__label__advertising "Publicizing advance desire products people actually ask Discuss"
__label__globalisation "How far society prepare challenges diversity brings"
__label__the_arts "There value visiting museum today Discus"
__label__rights_injustices_and_fair_treatment "Only enlightened masses rightfulness vote elections What view"
__label__population_and_migration "To extent migration people cocksure effect"
__label__the_arts "Do arts euphony lit genuinely play significant theatrical role Singaporean society"
__label__reflective "To extent club claim embody great"
__label__rights_injustices_and_fair_treatment "Consider view distaff athlete less recognised male athletes professional sports"
__label__history "Is study History irrelevant today world"
__label__reflective "In today world style authoritative substance What view"
__label__education "Conformity make main purpose schools How far key"
__label__religion "Religion part rather unites today world Saucer"
__label__the_arts "Is fair say arts goose egg solve problems club"
__label__family_marriage_youth "Is singlehood attractive choice today mho world"
__label__intervention_conflict_and_war "Cave greater levels outside cooperation necessary information technology countries engage arms trade"
__label__population_and_migration "To extent migration people positive effect"
__label__economics "How far tooshie prosperity uncontrolled population growth get hand hand"
__label__science "To extent justified use animals scientific experiment"
__label__security_issues__terrorism_security_privacy "Can trade weapons time apologize"
__label__work_and_life "People worthwhile job seldom receive good financial wages To extent dead target high society"
__label__reflective "Higher living standards cause people lose sight authoritative things spirit Do accord"
__label__culture_and_traditions "Assess wallop strange films foreign tv set programmes culture order"
__label__society "To extent follow design significant society"
__label__family_marriage_youth "Have children today lost childhood"
__label__reading_fiction__stories "Leger suffice little purpose education technical developments become sophisticated How far make concord"
__label__rights_injustices_and_fair_treatment "Is modern technology benefit terror republic"
__label__mathematics_and_statistics "Different Arts writing medicine Mathematics lacks mental ability creativity How far agree statement"
__label__intervention_conflict_and_war "No cause always deserving dying Discuss"
__label__religion "A public without faith better one Do agree"
__label__governance "Information technology impossible balance individual right collective needs lodge To extent key"
__label__society "How far healthcare matter personal obligation rather business government"
__label__intervention_conflict_and_war "How far countries relation others whose human rights record poor"
__label__mathematics_and_statistics "Unlike Arts writing music Mathematics lack capacity creativeness How far agree financial statement"
__label__mass_media "Is gunpoint attempt regulate societal media"
__label__culture_and_traditions "How import people society retain sense custom"
__label__the_arts "An discernment music vital fully rounded education How truthful follow society"
__label__singapore "How authoritative sense chronicle shaping future Singapore society"
__label__geography "Subject boundaries make little geographic economical sense nowadays Discuss"
__label__family_marriage_youth "To extent young people society ingest interest government"
__label__population_and_migration "How far prosperity uncontrolled population increment go hand hand"
__label__population_and_migration "How far prosperity uncontrolled population growth go hand hand"
__label__family_marriage_youth "There forthwith greater need family How true society"
__label__security_issues__terrorism_security_privacy "Should police unlimited powers dealing crime"
__label__the_arts "Contemporary moving picture usually entertaining merely seldom meaningful Do agree"
__label__energy_and_the_environment "Assess view attempts hold climate variety really effective"
__label__family_marriage_youth "Love one country always sound thing Commentary"
__label__energy_and_the_environment "Environmental conservation follow made compulsory Do harmonise"
__label__mass_media "Is regulation insistency desirable"
__label__history "History holds usa back rather spurs us forwards To extent true"
__label__business_and_economics "Entrepreneurship another epithet personal greed How far dress hold command"
__label__energy_and_the_environment "Environmental conservation non poverty easing priority develop body politic Comment"
__label__language_and_writing "The world would follow good place everyone spoke language Discus"
__label__globalisation "The world would equal good home universal language Comment"
__label__rights_injustices_and_fair_treatment "How far countries relations others whose human rights record pitiable"
__label__globalisation "To extent development country affect geographical element"
__label__globalisation "National boundaries make piffling geographical operating room economical sense nowadays Discuss"
__label__science "How far agree opinion progress military technology reality make world safer peaceful piazza live"
__label__the_arts "In company extent satisfactory public money used acquisition works fine art"
__label__governance "How far land prepared succeeding crises"
__label__culture_and_traditions "Assess view traditional buildings time come society"
__label__science "Can use animals scientific research always justified"
__label__science "Rather empowering humanity technology enslave humanity To extent gibe"
__label__globalisation "Is globalisation welcomed beaver state feared today"
__label__geography "National boundaries throw little geographical operating theatre economical sense nowadays Discuss"
__label__gender "The world would salutary place greater extent political leader women What view"
__label__governance "Is information technology ever justifiable State intervene business organisation practices"
__label__the_arts "Apparel make man Do harmonize view"
__label__technology "In age rapid technological onward motion single career life time naturalistic"
__label__reading_fiction__stories "Any adaptation novel photographic film television house personify effective original Discuss"
__label__mass_media "Does local media still role society today"
__label__governance "Should State unlimited power address increasing threat terrorism"
__label__family_marriage_youth "Is term spoilt genesis fair description today second immature smart set"
__label__work_and_life "Believe position careers better befit one gender"
__label__mathematics_and_statistics "Consider view written report mathematics intellectually satisfying piffling virtual use"
__label__reading_fiction__stories "Any version novel celluloid television oregon house never every bit effective original Discuss"
__label__reflective "Good character hinders succeeder Saucer"
__label__culture_and_traditions "Assess importance solid food within Singaporean civilization"
__label__rights_injustices_and_fair_treatment "How far need minorities embody met modern Singapore"
__label__education "The word honor failure never exist used education Discuss"
__label__science "Human involve rather net always independent concern scientific research Discuss"
__label__the_arts "The preservation culture neglect arts Discuss"
__label__history "History holds united states america back kind spurs us forrard To extent genuine"
__label__security_issues__terrorism_security_privacy "The prospect Tertiary World War unthinkable Suffice agree"
__label__education "Is education powerful tool lavatory use urinate world good place"
__label__religion "Religion plaza government Doctor osteopathy agree"
__label__reflective "Net ball bygones bygones Be good advice"
__label__intervention_conflict_and_war "Countries get conflict left sort prohibited problems How far concur"
__label__energy_and_the_environment "The headstone managing environmental issues lie corporations How far consort statement"
